,Latitude,Longitudes,city,Humidity,Cloudiness,Temperature,Wind Speed
1180,20,79,wani,70.0,0.0,21.62,1.52
1187,-10,33,chitipa,85.0,12.0,19.56,2.22
1193,29,-78,high rock,56.0,20.0,20.0,7.7
1196,4,12,mfou,100.0,40.0,22.0,1.32
1197,7,-1,agogo,83.0,48.0,26.27,2.97
1199,14,8,tessaoua,36.0,32.0,32.07,4.47
1201,19,-71,constanza,51.0,40.0,30.0,4.1
1211,5,10,nkongsamba,87.0,44.0,24.22,1.07
1216,36,61,sarakhs,63.0,40.0,16.0,2.1
1218,52,74,ereymentau,88.0,24.0,2.62,6.62
